PaymentID,CustomerID,Amount,PaymentDate,PaymentMethod,PaymentStatus,LatePaymentFlag
108,8139,699,2024-03-07,Card,Success,1
109,8128,199,2025-03-10,NetBanking,Success,1
110,3796,399,2024-05-12,UPI,Success,0
111,3896,699,2024-02-27,Card,Success,1
112,555,699,2024-12-03,Wallet,Success,0
113,854,399,2024-09-22,Card,Success,0
114,789,699,2025-06-14,Card,Success,0
115,8864,399,2025-06-21,NetBanking,Success,0
116,7653,399,2024-03-23,NetBanking,Success,0
117,9857,199,2024-04-07,NetBanking,Failed,0
118,8403,399,2025-07-26,Card,Failed,0
119,3648,399,2024-10-24,Wallet,Success,0
120,5960,399,2024-04-26,UPI,Success,0
121,2139,699,2024-08-03,UPI,Success,1
122,9545,399,2024-04-07,NetBanking,Success,0
123,6075,199,2025-07-27,NetBanking,Success,0
124,7204,199,2025-09-12,NetBanking,Success,0
125,1840,399,2026-01-14,Wallet,Success,0
126,6186,399,2024-05-05,UPI,Success,0
127,6307,699,2025-11-15,Card,Success,0
128,1494,199,2025-07-16,NetBanking,Success,0
129,8383,399,2026-01-29,Card,Success,1
130,2481,399,2024-03-25,NetBanking,Success,0
131,754,199,2025-02-23,UPI,Success,0
132,330,699,2024-03-02,Wallet,Success,0
133,3111,199,2025-07-25,UPI,Success,0
134,4698,399,2025-05-24,Wallet,Success,0
135,8889,699,2024-08-05,Card,Success,1
136,4457,699,2025-11-01,Card,Success,1
137,6115,699,2025-04-17,Card,Success,0
138,9697,399,2024-05-30,Card,Failed,0
139,9793,399,2024-12-20,Wallet,Success,0
140,2860,199,2024-07-23,Card,Success,0
141,4372,199,2025-03-11,UPI,Success,0
142,5884,399,2026-01-23,Wallet,Success,0
143,5888,699,2026-01-30,UPI,Success,0
144,7165,399,2025-04-11,UPI,Success,0
145,2957,699,2025-02-11,UPI,Success,0
146,6209,399,2025-02-03,NetBanking,Success,0
147,7332,199,2024-04-18,Card,Success,0
148,872,199,2025-06-07,UPI,Success,0
149,9635,399,2026-01-02,Wallet,Success,0
150,5724,199,2025-11-22,NetBanking,Success,0
151,5614,399,2024-04-02,Wallet,Success,1
152,1228,399,2025-04-30,Wallet,Failed,0
153,3901,399,2024-11-29,UPI,Success,0
154,3982,399,2025-09-30,UPI,Success,0
155,7037,199,2024-06-12,Wallet,Success,0
156,718,399,2024-07-21,NetBanking,Success,0
157,8951,199,2024-04-14,Wallet,Success,0
158,7001,199,2026-01-07,Wallet,Failed,0
159,6900,399,2025-04-15,NetBanking,Success,0
160,8959,699,2025-05-20,Card,Success,0
161,1332,699,2025-05-02,NetBanking,Success,0
162,7237,199,2025-05-22,NetBanking,Failed,0
163,7587,399,2025-06-12,NetBanking,Success,0
164,4203,399,2025-07-14,UPI,Success,0
165,23,199,2025-08-09,UPI,Success,0
166,4782,399,2024-10-24,NetBanking,Success,0
167,706,399,2025-04-24,Wallet,Success,0
168,3277,399,2025-12-01,Wallet,Success,0
169,6740,399,2024-11-03,Wallet,Success,0
170,2458,699,2025-10-07,UPI,Success,0
171,1472,199,2025-06-20,NetBanking,Success,1
172,1894,399,2025-08-12,UPI,Success,0
173,2357,399,2025-08-12,Wallet,Success,0
174,4350,199,2024-10-12,UPI,Success,0
175,8957,399,2024-04-16,UPI,Success,0
176,9473,699,2024-06-07,Wallet,Success,0
177,7501,199,2024-03-23,UPI,Success,1
178,2889,399,2025-03-19,Card,Success,0
179,2983,699,2025-03-23,NetBanking,Success,0
180,5702,399,2025-02-26,NetBanking,Success,0
181,677,399,2024-06-09,UPI,Success,0
182,2212,699,2025-06-19,UPI,Success,0
183,2630,199,2025-12-07,NetBanking,Success,0
184,2927,399,2024-03-13,Wallet,Success,0
185,2994,699,2024-05-26,Card,Success,1
186,4553,699,2024-04-16,Wallet,Success,0
187,3247,399,2025-06-20,Wallet,Failed,0
188,2870,699,2024-07-14,Wallet,Success,1
189,802,199,2024-04-29,NetBanking,Success,0
190,2331,699,2025-03-02,UPI,Success,0
191,9297,399,2025-11-19,NetBanking,Success,0
192,3043,399,2024-08-28,Card,Success,0
193,2755,199,2024-08-20,Wallet,Success,0
194,7441,399,2024-02-21,UPI,Success,0
195,5471,199,2024-12-28,Wallet,Success,0
196,6803,699,2026-01-09,NetBanking,Success,0
197,9023,199,2024-06-04,Wallet,Success,1
198,4620,399,2024-05-11,NetBanking,Success,0
199,4645,399,2025-01-08,UPI,Success,0
200,1038,399,2025-10-06,NetBanking,Success,0
201,1662,399,2025-11-22,NetBanking,Success,0
202,7693,699,2025-11-04,NetBanking,Success,0
203,8436,199,2024-06-09,Wallet,Success,1
204,9282,199,2025-11-08,Card,Success,0
205,8403,699,2025-01-03,UPI,Success,0
206,293,399,2024-07-09,Card,Failed,1
207,7027,199,2024-07-03,NetBanking,Success,0
208,1135,399,2025-09-22,Wallet,Success,0
209,3082,699,2024-08-30,NetBanking,Success,0
210,6190,699,2024-04-12,Wallet,Success,0
211,178,399,2025-02-02,Card,Success,0
212,3,399,2025-11-21,Card,Success,0
213,7505,699,2025-09-27,Wallet,Failed,0
214,3969,699,2024-02-13,Wallet,Success,1
215,2198,199,2024-10-25,Card,Success,0
216,2516,699,2024-05-15,Wallet,Success,0
217,4762,199,2025-08-16,Card,Success,0
218,8845,199,2025-10-14,Wallet,Success,0
219,3159,399,2024-10-29,Card,Success,0
220,3822,399,2025-08-23,UPI,Success,0
221,5545,399,2024-12-07,NetBanking,Success,0
222,9180,699,2025-11-26,NetBanking,Success,0
223,4870,399,2026-01-23,NetBanking,Success,0
224,7725,699,2024-02-29,UPI,Success,0
225,8496,699,2026-01-29,UPI,Success,0
226,531,699,2025-01-09,Card,Success,0
227,5783,699,2025-10-23,UPI,Success,0
228,212,399,2024-10-25,UPI,Success,0
229,8079,699,2025-05-08,UPI,Success,1
230,215,399,2025-08-16,NetBanking,Failed,0
231,7388,399,2025-04-10,Wallet,Success,0
232,8202,699,2024-05-28,NetBanking,Success,0
233,5622,699,2024-09-17,Wallet,Success,0
234,5619,699,2025-01-06,Card,Success,0
235,8297,199,2024-09-23,UPI,Success,1
236,1375,699,2025-01-04,UPI,Success,0
237,6662,199,2024-02-20,Card,Success,0
238,9887,699,2024-06-25,NetBanking,Success,0
239,744,399,2024-08-09,Wallet,Success,1
240,3246,699,2025-11-18,UPI,Success,0
241,9050,699,2024-06-13,NetBanking,Success,1
242,5983,199,2025-06-13,Wallet,Success,0
243,352,199,2025-02-02,Card,Success,0
244,3874,399,2024-04-25,Card,Success,0
245,6358,699,2025-10-23,UPI,Success,0
246,6538,199,2025-12-16,NetBanking,Success,1
247,7610,399,2025-08-23,Card,Success,1
248,8585,399,2024-10-27,NetBanking,Success,0
249,3703,399,2025-10-23,Card,Success,0
250,4795,199,2025-12-28,UPI,Success,0
251,2078,399,2024-03-29,Card,Success,0
252,8976,399,2024-05-04,Card,Success,0
253,2763,399,2025-08-15,UPI,Success,0
254,3735,699,2025-10-13,Card,Success,1
255,5917,399,2025-08-19,UPI,Success,0
256,5007,199,2026-02-01,Card,Success,1
257,8595,399,2025-12-10,UPI,Success,0
258,5009,199,2024-09-04,UPI,Success,0
259,3545,199,2024-06-04,UPI,Success,0
260,6803,699,2025-03-24,Wallet,Success,0
261,1196,699,2024-06-05,Card,Success,0
262,8777,199,2024-09-29,NetBanking,Success,0
263,5461,699,2025-12-06,Wallet,Failed,1
264,6250,199,2025-07-04,Wallet,Success,0
265,2498,399,2024-11-06,NetBanking,Success,0
266,7868,399,2024-03-24,Card,Failed,0
267,7556,199,2025-07-16,NetBanking,Success,0
268,5738,399,2024-06-24,NetBanking,Success,0
269,1366,399,2025-10-22,Wallet,Success,1
270,6803,399,2024-12-08,Wallet,Success,0
271,5398,399,2025-11-24,Wallet,Success,0
272,2673,699,2025-09-15,Card,Success,0
273,1242,699,2025-11-03,UPI,Success,0
274,7022,199,2024-11-03,UPI,Success,0
275,8060,699,2024-07-11,NetBanking,Success,0
276,5008,699,2024-03-27,Card,Success,0
277,5760,399,2025-08-26,NetBanking,Success,0
278,6278,699,2025-04-12,Wallet,Success,0
279,2801,199,2025-08-12,Wallet,Success,1
280,1697,399,2024-10-02,Wallet,Failed,0
281,9498,699,2024-12-20,NetBanking,Success,0
282,2311,199,2025-08-06,Card,Success,0
283,7060,199,2024-12-30,Card,Success,0
284,6895,199,2025-06-20,UPI,Success,0
285,9811,399,2024-04-22,Card,Success,0
286,4236,699,2024-02-18,UPI,Success,0
287,7145,399,2024-04-23,NetBanking,Success,0
288,3796,199,2026-02-01,UPI,Success,0
289,5063,199,2025-08-05,UPI,Success,1
290,3477,199,2024-10-22,NetBanking,Success,0
291,4596,699,2024-05-16,Card,Success,0
292,2077,699,2024-06-18,Card,Success,0
293,5169,199,2024-09-06,Wallet,Failed,0
294,6751,199,2024-04-15,Wallet,Success,0
295,2293,399,2025-11-23,Card,Success,0
296,3071,399,2024-06-10,Card,Success,0
297,897,699,2025-04-14,Card,Success,0
298,3831,699,2024-07-11,NetBanking,Success,1
299,3379,699,2024-10-06,Wallet,Success,0
300,4548,699,2025-05-25,Wallet,Success,0
301,7842,199,2025-07-13,NetBanking,Success,0
302,7456,699,2024-05-24,UPI,Success,0
303,982,699,2024-07-21,Wallet,Success,0
304,198,399,2024-10-09,NetBanking,Success,0
305,5067,399,2025-01-23,Wallet,Success,0
306,8613,399,2024-03-05,NetBanking,Success,0
307,6168,699,2024-02-10,Card,Success,1
308,5583,199,2025-09-27,NetBanking,Success,0
309,3847,199,2024-10-20,NetBanking,Success,0
310,9448,699,2025-09-25,NetBanking,Success,0
311,4490,199,2024-10-04,NetBanking,Success,1
312,5004,699,2025-10-13,Card,Success,0
313,8075,399,2024-05-02,UPI,Success,0
314,9731,199,2024-07-28,UPI,Success,0
315,6789,699,2025-10-10,Card,Success,1
316,1094,199,2025-10-19,UPI,Success,0
317,7729,399,2025-06-24,Wallet,Success,0
318,6273,199,2024-06-30,Card,Success,1
319,1630,399,2025-03-27,UPI,Success,0
320,6590,399,2025-11-20,UPI,Success,0
321,5592,399,2024-09-13,NetBanking,Success,0
322,4224,399,2024-06-05,Wallet,Success,0
323,2735,699,2025-03-25,UPI,Success,0
324,6347,399,2024-12-22,UPI,Success,0
325,1781,199,2024-07-21,Wallet,Success,0
326,3616,399,2024-09-18,Wallet,Success,0
327,995,199,2024-12-20,UPI,Failed,0
328,4671,199,2025-01-28,Card,Failed,0
329,845,199,2025-02-13,Card,Failed,0
330,6114,699,2025-01-25,UPI,Success,0
331,4803,699,2024-05-31,Wallet,Success,0
332,6781,399,2025-03-09,UPI,Failed,0
333,9062,199,2024-12-09,UPI,Success,1
334,2826,399,2026-01-26,Card,Success,0
335,4164,199,2024-04-05,Wallet,Success,0
336,1213,699,2025-05-19,Card,Success,0
337,6542,399,2024-05-20,NetBanking,Success,0
338,5215,399,2024-09-16,Wallet,Success,0
339,592,399,2025-07-15,Wallet,Success,0
340,6305,199,2025-07-21,UPI,Success,0
341,635,699,2024-02-27,NetBanking,Success,0
342,9662,699,2024-03-07,Wallet,Success,0
343,6239,399,2024-11-30,Card,Success,1
344,2393,699,2025-11-17,UPI,Success,1
345,9510,399,2024-04-22,Card,Success,0
346,5259,199,2025-11-29,NetBanking,Success,0
347,6014,699,2024-07-02,Card,Success,0
348,97,199,2025-02-12,Wallet,Success,0
349,9386,399,2024-08-08,Wallet,Success,0
350,7855,699,2025-12-27,NetBanking,Success,0
351,9977,699,2024-06-12,UPI,Failed,0
352,2425,399,2024-10-13,UPI,Success,0
353,3232,399,2025-09-17,Card,Success,1
354,9962,199,2025-01-05,Card,Success,0
355,8228,699,2024-05-05,UPI,Success,0
356,22,399,2026-01-18,UPI,Success,1
357,6586,199,2025-03-15,UPI,Success,0
358,5130,399,2026-02-04,Wallet,Failed,0
359,7230,699,2024-02-28,NetBanking,Success,0
360,2814,699,2024-03-06,NetBanking,Success,0
361,9040,699,2026-01-13,Wallet,Success,1
362,3011,399,2024-02-10,NetBanking,Success,1
363,62,699,2024-11-07,Wallet,Success,0
364,7611,399,2024-02-22,NetBanking,Success,0
365,6334,199,2024-02-11,UPI,Failed,0
366,5065,399,2024-06-18,UPI,Success,1
367,5543,699,2024-07-21,UPI,Success,0
368,4065,699,2024-11-10,Wallet,Success,0
369,1014,199,2025-12-25,UPI,Success,0
370,2696,199,2025-01-02,Card,Success,0
371,810,199,2024-08-02,UPI,Success,0
372,8077,199,2024-02-26,UPI,Success,1
373,3075,199,2024-12-15,NetBanking,Success,0
374,3135,399,2025-04-09,NetBanking,Success,0
375,2036,699,2026-01-11,Wallet,Success,1
376,8128,199,2025-04-19,Wallet,Success,0
377,1777,199,2024-08-12,NetBanking,Success,0
378,5856,199,2024-03-12,Card,Success,1
379,8964,699,2024-05-15,UPI,Success,1
380,551,399,2026-01-14,NetBanking,Success,0
381,3862,399,2024-05-18,NetBanking,Success,0
382,1130,199,2025-08-23,NetBanking,Success,1
383,2572,399,2024-02-11,Card,Success,1
384,884,399,2025-07-03,NetBanking,Success,0
385,8694,699,2024-07-03,NetBanking,Success,0
386,9291,399,2024-09-08,UPI,Success,0
387,2950,399,2024-11-21,Card,Success,0
388,2502,699,2025-05-14,Wallet,Success,0
389,4175,199,2026-01-02,NetBanking,Success,0
390,615,399,2024-06-01,Wallet,Success,0
391,4772,199,2025-02-13,UPI,Success,0
392,1419,399,2025-08-13,UPI,Failed,1
393,7503,199,2025-09-19,NetBanking,Success,0
394,1896,399,2025-12-30,UPI,Success,0
395,2801,199,2024-09-30,Card,Success,0
396,4878,199,2025-12-15,Card,Success,0
397,5916,399,2024-04-06,NetBanking,Success,0
398,7002,699,2025-04-01,Card,Success,0
399,5386,199,2024-04-11,Wallet,Success,0
400,5657,199,2026-01-25,Wallet,Success,0
401,4794,199,2025-06-20,Wallet,Success,0
402,4449,199,2024-11-25,Wallet,Success,0
403,6394,199,2025-03-19,Card,Failed,0
404,148,199,2024-08-11,Card,Success,0
405,3023,199,2024-06-06,NetBanking,Success,0
406,2891,199,2024-09-19,Wallet,Success,0
407,637,399,2025-11-03,Wallet,Success,0
408,361,399,2025-11-29,UPI,Success,0
409,7821,399,2024-07-06,Card,Success,0
410,5271,699,2025-05-09,Card,Success,0
411,3707,399,2024-05-04,Wallet,Success,0
412,5006,399,2025-07-01,NetBanking,Success,0
413,6206,699,2025-03-10,UPI,Success,0
414,9038,399,2025-01-19,Card,Success,0
415,6773,199,2025-06-17,UPI,Failed,0
416,179,699,2024-03-16,UPI,Failed,0
417,9900,199,2024-12-30,UPI,Success,0
418,5691,699,2024-06-12,NetBanking,Success,0
419,4856,699,2024-04-14,Wallet,Success,0
420,4291,399,2024-05-23,Wallet,Failed,0
421,1242,399,2024-09-28,NetBanking,Success,1
422,841,399,2024-10-22,Card,Failed,0
423,9034,699,2025-01-28,Wallet,Success,0
424,9983,699,2025-11-14,NetBanking,Success,0
425,6549,199,2024-11-23,NetBanking,Success,0
426,177,199,2024-12-11,NetBanking,Success,1
427,8542,199,2024-09-17,Card,Success,0
428,1535,699,2024-12-27,NetBanking,Success,0
429,85,699,2024-06-17,NetBanking,Success,0
430,645,699,2025-05-11,UPI,Success,0
431,1996,399,2024-04-19,UPI,Success,0
432,3345,699,2025-04-01,UPI,Success,0
433,7620,699,2025-03-28,Wallet,Failed,0
434,9146,199,2024-04-05,NetBanking,Success,0
435,7929,199,2025-04-01,Wallet,Success,0
436,6592,199,2026-01-20,UPI,Success,0
437,1109,699,2025-01-31,Wallet,Success,0
438,1268,399,2025-04-01,Wallet,Success,0
439,6478,199,2024-08-30,NetBanking,Success,1
440,8669,399,2024-10-01,Wallet,Success,0
441,982,399,2024-11-24,UPI,Success,0
442,7904,199,2025-06-29,Wallet,Success,1
443,9630,199,2024-08-05,Card,Success,0
444,6158,199,2024-02-28,NetBanking,Success,1
445,8828,199,2025-01-10,UPI,Success,0
446,7880,699,2025-05-19,Card,Success,0
447,5383,399,2024-09-10,Card,Success,0
448,9919,199,2024-10-02,UPI,Success,0
449,3823,399,2025-11-29,NetBanking,Success,0
450,8554,199,2026-01-11,Card,Success,0
451,4299,699,2025-01-15,UPI,Success,0
452,5458,399,2024-09-10,UPI,Success,0
453,8143,699,2025-06-04,NetBanking,Success,0
454,7186,399,2024-12-24,UPI,Success,0
455,1754,199,2024-12-14,NetBanking,Success,0
456,7093,399,2025-02-27,UPI,Success,0
457,5209,699,2024-06-18,Wallet,Success,0
458,8179,199,2025-06-23,Card,Success,0
459,1157,199,2025-08-15,NetBanking,Success,1
460,1713,699,2025-03-04,Wallet,Success,0
461,2548,399,2025-11-29,Wallet,Success,0
462,3185,699,2025-02-16,Card,Success,0
463,3936,199,2024-03-10,Card,Success,0
464,7623,399,2024-02-26,Card,Success,1
465,7700,399,2024-07-24,Wallet,Failed,0
466,3631,199,2026-01-16,UPI,Success,1
467,3713,699,2024-08-06,UPI,Success,0
468,3494,699,2024-05-20,Card,Success,0
469,1238,199,2025-05-21,NetBanking,Success,0
470,1650,699,2024-08-23,Wallet,Success,1
471,781,699,2024-09-10,Card,Success,0
472,3814,699,2025-08-30,UPI,Success,0
473,3505,699,2024-05-14,Card,Success,1
474,5203,699,2024-12-07,NetBanking,Success,0
475,2939,399,2024-11-11,UPI,Success,0
476,4718,399,2024-06-24,Wallet,Failed,0
477,6178,699,2024-11-16,Card,Success,0
478,2944,399,2025-06-26,Wallet,Success,0
479,5810,399,2024-12-03,NetBanking,Success,0
480,1324,399,2024-03-23,UPI,Success,0
481,4158,399,2024-07-15,Card,Success,0
482,2217,199,2025-10-21,Wallet,Success,0
483,8553,699,2025-10-20,Card,Success,0
484,606,199,2024-11-08,NetBanking,Success,1
485,8362,199,2025-01-19,Card,Success,0
486,7616,399,2025-10-10,Wallet,Failed,1
487,5056,199,2025-03-17,UPI,Success,0
488,3083,399,2025-02-11,NetBanking,Success,0
489,9371,199,2025-10-15,UPI,Success,1
490,189,699,2025-05-26,Wallet,Success,0
491,7382,399,2025-12-18,NetBanking,Failed,0
492,2961,199,2025-09-07,UPI,Success,0
493,5029,399,2025-11-03,Wallet,Success,0
494,2332,699,2024-05-15,NetBanking,Success,0
495,7208,399,2025-02-08,Card,Success,0
496,4752,199,2024-10-08,Wallet,Failed,0
497,7072,199,2025-08-03,NetBanking,Success,0
498,256,199,2026-01-05,NetBanking,Success,0
499,589,199,2024-06-18,NetBanking,Success,0
500,6824,199,2024-06-13,Wallet,Success,0
501,6312,699,2024-03-28,NetBanking,Success,1
502,5034,699,2025-11-13,Card,Success,0
503,5400,699,2025-09-17,UPI,Success,0
504,9922,199,2025-09-25,NetBanking,Success,0
505,58,399,2024-10-17,Card,Success,0
506,1604,399,2024-04-09,UPI,Success,0
507,8935,399,2024-06-26,NetBanking,Success,0
508,3735,699,2024-03-13,UPI,Success,0
509,4310,199,2024-10-27,Card,Success,1
510,9017,699,2025-08-26,NetBanking,Failed,0
511,8610,699,2025-10-13,Wallet,Success,0
512,2330,699,2024-09-18,UPI,Success,0
513,3365,399,2025-07-18,Card,Success,0
514,8462,699,2024-04-03,Card,Success,0
515,864,699,2024-11-04,NetBanking,Success,0
516,7398,199,2025-01-30,NetBanking,Success,0
517,8383,399,2025-04-02,UPI,Failed,0
518,5427,199,2024-04-16,NetBanking,Success,0
519,1346,199,2025-08-08,Card,Success,0
520,801,199,2024-04-03,UPI,Success,0
521,1595,699,2025-02-11,UPI,Success,0
522,5522,699,2025-04-30,UPI,Success,0
523,5782,699,2025-07-18,NetBanking,Success,0
524,3459,199,2026-01-04,NetBanking,Success,0
525,3575,399,2025-06-27,Card,Success,0
526,5981,699,2025-05-24,Wallet,Success,0
527,1317,699,2024-10-06,UPI,Success,1
528,4646,699,2024-12-30,Wallet,Failed,0
529,3277,699,2026-01-14,Card,Success,0
530,5870,699,2025-11-17,Card,Success,0
531,7057,699,2024-08-04,NetBanking,Success,0
532,619,699,2025-11-28,Wallet,Success,0
533,769,399,2025-12-23,Card,Success,0
534,3095,699,2026-01-07,Card,Success,0
535,3291,699,2025-07-22,UPI,Success,0
536,850,699,2024-02-18,UPI,Success,0
537,4080,199,2024-11-12,NetBanking,Success,0
538,8547,199,2025-08-22,NetBanking,Success,0
539,7143,699,2024-12-31,NetBanking,Success,0
540,3582,399,2024-11-14,UPI,Success,0
541,2071,199,2025-04-27,Card,Success,0
542,8655,399,2025-10-17,Wallet,Success,0
543,6744,399,2024-09-25,Card,Failed,0
544,4219,399,2025-07-24,NetBanking,Success,0
545,434,699,2024-05-27,Card,Success,0
546,7396,699,2024-12-30,NetBanking,Success,0
547,6564,399,2025-09-05,Card,Success,0
548,1710,199,2024-03-13,NetBanking,Success,0
549,9299,699,2024-08-03,Card,Success,0
550,1545,199,2025-02-18,Card,Failed,0
551,714,399,2025-11-23,NetBanking,Failed,0
552,6640,199,2024-08-12,Card,Success,1
553,3613,199,2024-02-29,UPI,Success,0
554,5374,199,2025-01-14,UPI,Success,0
555,6340,199,2025-08-07,Wallet,Success,1
556,186,699,2024-04-13,Wallet,Success,0
557,9466,399,2025-06-16,Card,Success,0
558,835,199,2024-11-28,UPI,Success,0
559,5426,199,2025-04-02,Wallet,Success,0
560,7530,699,2025-12-01,UPI,Failed,1
561,336,699,2024-03-24,Wallet,Success,1
562,2553,399,2025-02-13,Card,Success,0
563,3297,699,2025-07-26,NetBanking,Success,0
564,5444,199,2025-05-17,Card,Failed,0
565,347,399,2024-05-19,Card,Success,0
566,9346,699,2024-07-10,UPI,Success,0
567,5083,199,2024-07-07,UPI,Success,0
568,3870,199,2024-11-01,NetBanking,Success,0
569,6157,399,2025-11-09,NetBanking,Failed,0
570,8323,699,2024-04-19,Wallet,Success,0
571,4216,399,2024-03-18,UPI,Success,0
572,3683,199,2025-08-02,Card,Success,0
573,9823,399,2026-01-15,NetBanking,Success,0
574,9235,199,2024-12-23,NetBanking,Failed,0
575,3963,399,2024-11-02,UPI,Success,0
576,7808,199,2024-08-25,Wallet,Success,1
577,2270,199,2025-08-21,Card,Success,0
578,3190,699,2025-05-28,Wallet,Success,1
579,2072,399,2024-04-25,NetBanking,Success,0
580,7966,399,2026-01-29,UPI,Success,0
581,4485,399,2024-04-06,NetBanking,Success,1
582,6435,199,2025-11-09,Wallet,Success,0
583,1585,199,2024-12-13,Wallet,Failed,0
584,1004,399,2024-12-05,NetBanking,Success,1
585,4462,399,2024-09-11,UPI,Success,0
586,6497,399,2025-05-21,NetBanking,Success,0
587,2801,399,2024-12-31,Wallet,Success,0
588,4325,199,2024-07-28,Card,Success,0
589,8057,699,2024-07-25,Wallet,Success,0
590,4706,399,2025-10-12,Wallet,Success,0
591,8218,199,2024-08-17,NetBanking,Success,0
