CustomerID,Gender,age,Region,JoinDate,CustomerSegment,TenureMonths,DeviceType,SupportTicketsCount
47,Female,33,South,2021-12-18,Prepaid,50,Feature Phone,5
48,Male,46,South,2022-10-14,Prepaid,40,Feature Phone,1
49,Female,38,East,2023-07-18,Postpaid,31,iOS,3
50,Male,29,West,2024-03-31,Prepaid,22,Android,0
51,Female,50,East,2024-05-22,Postpaid,20,Android,3
52,Female,24,East,2023-04-23,Postpaid,34,Android,4
53,Female,36,East,2025-03-30,Prepaid,10,iOS,2
54,Female,34,West,2021-09-25,Prepaid,53,iOS,2
55,Female,20,North,2021-11-21,Postpaid,51,Android,3
56,Female,33,East,2025-04-13,Prepaid,10,Feature Phone,2
57,Male,49,South,2023-12-15,Prepaid,26,iOS,0
58,Female,41,East,2021-03-06,Prepaid,60,Feature Phone,4
59,Female,44,East,2025-01-29,Postpaid,12,iOS,5
60,Male,31,North,2022-04-20,Prepaid,46,iOS,4
61,Male,44,South,2024-12-06,Postpaid,14,iOS,2
62,Female,33,West,2022-02-06,Postpaid,48,Android,0
63,Female,57,North,2025-06-03,Postpaid,8,Feature Phone,2
64,Female,56,South,2022-11-17,Postpaid,39,iOS,1
65,Male,53,West,2022-10-11,Postpaid,40,Feature Phone,5
66,Male,41,North,2024-01-04,Prepaid,25,Feature Phone,4
67,Male,64,South,2021-12-20,Prepaid,50,Android,0
68,Male,18,South,2021-11-03,Prepaid,52,Feature Phone,4
69,Male,31,East,2023-03-23,Prepaid,35,Android,0
70,Male,46,North,2025-10-25,Postpaid,3,Feature Phone,1
71,Male,53,East,2025-10-14,Prepaid,3,Android,5
72,Female,59,East,2025-12-19,Postpaid,1,Feature Phone,5
73,Female,50,South,2021-09-28,Postpaid,53,Feature Phone,4
74,Female,22,South,2021-08-14,Postpaid,54,iOS,3
75,Female,55,North,2025-08-05,Prepaid,6,Android,0
76,Female,39,South,2024-03-18,Postpaid,23,iOS,4
77,Female,35,West,2023-03-22,Prepaid,35,Android,4
78,Female,52,West,2024-07-17,Prepaid,19,Android,1
79,Male,27,South,2021-07-02,Prepaid,56,Android,2
80,Male,31,South,2025-01-05,Prepaid,13,Feature Phone,1
81,Female,62,North,2023-08-13,Prepaid,30,Android,4
82,Male,41,North,2023-04-21,Postpaid,34,Feature Phone,5
83,Female,25,West,2022-05-17,Prepaid,45,Android,1
84,Male,23,East,2022-06-14,Postpaid,44,Android,3
85,Female,23,North,2025-04-02,Postpaid,10,iOS,1
86,Female,51,West,2024-11-23,Prepaid,14,Feature Phone,1
87,Female,24,West,2022-05-09,Postpaid,45,iOS,5
88,Male,32,West,2021-11-30,Postpaid,51,Feature Phone,4
89,Female,51,South,2022-10-20,Prepaid,40,Feature Phone,5
90,Female,22,South,2023-02-04,Postpaid,36,Feature Phone,5
91,Male,35,North,2023-04-15,Prepaid,34,iOS,0
92,Female,20,East,2022-08-22,Postpaid,42,Android,0
93,Female,62,North,2025-04-18,Prepaid,9,Feature Phone,0
94,Male,29,East,2024-02-13,Postpaid,24,Feature Phone,4
95,Female,29,East,2022-03-12,Prepaid,47,Android,3
96,Female,24,East,2023-05-27,Prepaid,33,Android,1
97,Male,36,West,2024-09-28,Postpaid,16,iOS,0
98,Female,18,North,2022-05-28,Postpaid,45,iOS,4
99,Male,45,East,2021-07-31,Postpaid,55,Feature Phone,5
100,Female,24,East,2025-10-24,Postpaid,3,Feature Phone,5
101,Male,37,North,2021-11-03,Prepaid,52,iOS,0
102,Male,48,South,2022-06-28,Prepaid,44,Feature Phone,1
103,Female,40,North,2025-05-27,Postpaid,8,Feature Phone,2
104,Female,59,South,2021-06-01,Prepaid,57,iOS,1
105,Male,43,North,2023-06-02,Prepaid,32,iOS,3
106,Female,57,West,2024-05-07,Prepaid,21,Feature Phone,1
107,Male,24,East,2024-04-23,Prepaid,21,Android,4
108,Female,45,South,2022-11-26,Prepaid,39,Android,5
109,Female,49,North,2025-03-08,Prepaid,11,iOS,3
110,Female,48,West,2022-03-12,Prepaid,47,Android,3
111,Male,26,West,2025-01-11,Prepaid,13,iOS,0
112,Male,55,South,2021-07-13,Prepaid,55,iOS,5
113,Male,45,South,2024-05-15,Postpaid,21,Android,4
114,Female,64,South,2025-10-04,Postpaid,4,Android,4
115,Female,37,West,2024-12-26,Postpaid,13,Android,0
116,Female,48,North,2022-04-26,Prepaid,46,Android,0
117,Female,39,South,2022-05-16,Prepaid,45,Feature Phone,4
118,Female,26,North,2024-09-20,Prepaid,16,Android,4
119,Male,58,South,2025-12-02,Prepaid,2,Feature Phone,4
120,Male,51,South,2022-12-08,Prepaid,38,Feature Phone,2
121,Male,63,North,2021-12-22,Prepaid,50,iOS,0
122,Male,61,South,2024-07-17,Prepaid,19,Feature Phone,2
123,Male,50,South,2024-11-12,Prepaid,15,Android,4
124,Male,45,South,2025-04-26,Postpaid,9,Android,5
125,Male,19,West,2023-01-21,Prepaid,37,Android,1
126,Male,26,East,2022-12-23,Postpaid,38,Feature Phone,0
127,Male,40,East,2025-03-02,Prepaid,11,iOS,5
128,Female,61,East,2023-04-24,Prepaid,34,Feature Phone,5
129,Male,35,North,2025-07-25,Postpaid,6,Android,5
130,Female,49,West,2021-11-03,Prepaid,52,iOS,2
131,Female,33,South,2025-12-03,Postpaid,2,Feature Phone,3
132,Male,21,South,2023-06-01,Prepaid,32,iOS,1
133,Male,23,South,2022-08-02,Postpaid,42,Android,5
134,Female,29,South,2022-02-09,Postpaid,48,Android,0
135,Male,38,South,2024-03-31,Postpaid,22,Feature Phone,3
136,Female,30,South,2024-09-25,Prepaid,16,iOS,1
137,Male,29,East,2021-05-10,Prepaid,57,Feature Phone,3
138,Male,41,South,2021-10-18,Prepaid,52,iOS,4
139,Female,29,East,2025-03-18,Postpaid,10,iOS,3
140,Female,58,South,2025-03-21,Postpaid,10,Android,5
141,Female,19,North,2024-09-23,Postpaid,16,iOS,2
142,Male,25,East,2024-04-20,Prepaid,22,Android,4
143,Female,29,East,2021-12-13,Prepaid,50,Feature Phone,3
144,Female,44,South,2025-07-17,Prepaid,6,iOS,1
145,Male,20,South,2022-06-12,Postpaid,44,Feature Phone,2
146,Male,64,North,2023-05-02,Postpaid,33,Feature Phone,4
147,Female,29,South,2025-11-03,Postpaid,3,Feature Phone,1
148,Female,49,South,2022-02-04,Prepaid,48,Feature Phone,4
149,Male,50,East,2024-06-16,Prepaid,20,Feature Phone,0
150,Male,32,South,2024-01-15,Postpaid,25,Android,3
151,Male,63,East,2023-09-06,Prepaid,29,Feature Phone,5
152,Female,55,North,2024-05-20,Postpaid,21,iOS,1
153,Male,51,West,2025-05-04,Prepaid,9,Android,2
154,Male,63,South,2025-12-19,Prepaid,1,Android,0
155,Female,48,East,2023-02-22,Prepaid,36,Feature Phone,2
156,Female,46,North,2025-02-02,Postpaid,12,Android,3
157,Female,48,West,2021-11-24,Prepaid,51,Android,1
158,Male,40,East,2021-04-21,Postpaid,58,iOS,2
159,Male,35,East,2022-06-09,Postpaid,44,Feature Phone,4
160,Female,65,North,2023-08-14,Postpaid,30,Android,1
161,Female,23,South,2022-10-09,Prepaid,40,Android,0
162,Male,39,East,2023-09-15,Prepaid,29,iOS,5
163,Male,52,North,2022-09-09,Prepaid,41,Feature Phone,2
164,Male,64,West,2024-05-28,Postpaid,20,Android,3
165,Male,36,North,2025-11-14,Postpaid,2,iOS,1
166,Male,53,West,2021-05-10,Postpaid,57,Android,3
167,Female,47,North,2021-06-26,Postpaid,56,Android,0
168,Male,18,West,2022-02-15,Prepaid,48,Feature Phone,2
169,Male,54,East,2024-05-12,Postpaid,21,iOS,2
170,Male,58,South,2023-03-18,Prepaid,35,Feature Phone,0
171,Female,32,North,2021-07-16,Postpaid,55,iOS,1
172,Male,60,North,2021-12-02,Postpaid,51,Feature Phone,0
173,Male,31,North,2024-02-24,Postpaid,23,Android,5
174,Female,26,South,2021-06-26,Prepaid,56,Feature Phone,4
175,Female,38,North,2021-07-27,Postpaid,55,Android,4
176,Female,56,East,2021-02-16,Prepaid,60,iOS,3
177,Female,43,West,2023-09-22,Prepaid,29,Feature Phone,5
178,Female,26,North,2024-12-13,Postpaid,14,Feature Phone,4
179,Male,23,East,2025-08-16,Prepaid,5,Android,3
180,Female,21,West,2022-07-14,Postpaid,43,Android,1
181,Female,50,West,2025-05-01,Postpaid,9,iOS,4
182,Female,44,South,2025-12-23,Postpaid,1,iOS,2
183,Male,25,North,2025-08-09,Postpaid,6,Feature Phone,3
184,Male,37,West,2024-06-18,Prepaid,20,Android,2
185,Female,53,North,2023-08-09,Prepaid,30,Android,4
186,Male,24,North,2021-05-09,Postpaid,57,Feature Phone,1
187,Female,47,North,2021-04-12,Postpaid,58,Android,3
188,Female,23,North,2025-12-20,Postpaid,1,Feature Phone,4
189,Male,30,South,2022-11-06,Prepaid,39,Android,2
190,Female,24,West,2021-07-07,Prepaid,55,Android,1
191,Female,20,South,2022-09-21,Postpaid,41,Feature Phone,2
192,Male,19,East,2025-11-27,Prepaid,2,iOS,0
193,Male,25,West,2023-04-15,Postpaid,34,Feature Phone,0
194,Female,63,West,2024-02-14,Postpaid,24,iOS,5
195,Female,55,West,2021-11-20,Prepaid,51,Android,3
196,Male,60,North,2023-10-19,Postpaid,28,Feature Phone,0
197,Female,64,South,2025-03-28,Postpaid,10,Android,2
198,Female,58,East,2021-07-31,Prepaid,55,iOS,3
199,Male,35,North,2023-04-12,Prepaid,34,Feature Phone,3
200,Female,45,West,2022-08-03,Prepaid,42,iOS,3
201,Male,50,South,2023-10-29,Postpaid,27,iOS,2
202,Female,26,West,2024-02-22,Prepaid,23,Feature Phone,5
203,Male,30,East,2023-08-13,Postpaid,30,Feature Phone,4
204,Male,41,South,2021-12-27,Postpaid,50,iOS,1
205,Female,19,West,2022-10-30,Postpaid,39,iOS,0
206,Male,63,West,2021-08-07,Postpaid,54,iOS,3
207,Male,23,East,2025-10-15,Postpaid,3,Android,1
208,Male,32,South,2024-10-18,Postpaid,16,iOS,4
209,Male,34,North,2022-02-22,Prepaid,48,Android,4
210,Male,55,East,2022-06-26,Postpaid,44,iOS,4
211,Male,51,West,2021-06-19,Prepaid,56,Android,2
212,Female,63,North,2022-09-18,Postpaid,41,Feature Phone,1
213,Male,57,South,2021-03-06,Postpaid,60,iOS,4
214,Female,39,East,2023-04-18,Prepaid,34,Feature Phone,5
215,Male,55,South,2024-09-30,Postpaid,16,iOS,4
216,Male,37,East,2023-09-24,Prepaid,29,Feature Phone,1
217,Female,47,South,2025-05-02,Postpaid,9,Android,2
218,Male,53,North,2022-08-26,Postpaid,42,iOS,3
219,Female,63,West,2025-03-20,Prepaid,10,iOS,1
220,Male,18,West,2025-08-20,Prepaid,5,Feature Phone,0
221,Male,29,South,2022-07-15,Postpaid,43,Android,5
222,Male,39,South,2022-08-15,Prepaid,42,iOS,4
223,Female,44,West,2022-06-21,Postpaid,44,Android,1
224,Male,23,South,2021-08-15,Postpaid,54,Feature Phone,4
225,Male,42,East,2025-08-20,Prepaid,5,iOS,1
226,Male,35,East,2022-12-31,Prepaid,37,Android,2
227,Male,52,South,2023-09-25,Prepaid,28,iOS,2
228,Female,19,North,2023-12-08,Postpaid,26,Feature Phone,4
229,Female,39,East,2022-10-12,Postpaid,40,Android,1
230,Female,34,West,2023-01-20,Prepaid,37,Feature Phone,2
231,Female,59,South,2023-06-03,Prepaid,32,iOS,3
232,Female,23,North,2021-03-20,Postpaid,59,Feature Phone,2
233,Male,48,West,2024-02-22,Prepaid,23,Android,4
234,Female,40,South,2024-02-02,Postpaid,24,Feature Phone,5
235,Female,29,South,2025-03-17,Prepaid,11,Feature Phone,3
236,Male,36,West,2023-07-10,Prepaid,31,iOS,0
237,Male,57,West,2021-07-28,Prepaid,55,Android,2
238,Female,64,West,2024-04-05,Prepaid,22,Android,1
239,Female,58,South,2025-03-01,Postpaid,11,Android,5
240,Female,57,North,2022-11-16,Postpaid,39,Android,3
241,Male,39,North,2023-05-07,Postpaid,33,Android,5
242,Female,55,North,2025-10-06,Postpaid,4,iOS,0
243,Male,23,North,2022-07-26,Postpaid,43,Feature Phone,0
244,Female,40,South,2024-03-24,Prepaid,22,Feature Phone,1
245,Female,46,South,2023-12-19,Prepaid,26,Feature Phone,1
246,Female,40,West,2021-12-02,Postpaid,51,Android,0
247,Male,41,South,2024-04-13,Prepaid,22,Feature Phone,0
248,Male,61,West,2021-05-20,Prepaid,57,iOS,3
249,Female,36,West,2025-09-23,Postpaid,4,iOS,2
250,Female,18,North,2022-08-12,Prepaid,42,Android,0
251,Male,52,South,2024-02-22,Prepaid,23,Feature Phone,3
252,Male,29,West,2023-08-02,Prepaid,30,Android,3
253,Female,54,North,2024-03-27,Prepaid,22,iOS,2
254,Male,54,South,2022-01-21,Postpaid,49,iOS,2
255,Male,42,East,2021-07-12,Postpaid,55,iOS,4
256,Male,64,South,2021-04-23,Prepaid,58,iOS,5
257,Female,42,East,2021-08-01,Prepaid,55,iOS,3
258,Male,37,East,2023-11-29,Prepaid,26,iOS,2
259,Female,26,West,2021-03-06,Prepaid,60,iOS,1
260,Female,35,North,2025-05-04,Postpaid,9,Android,1
261,Female,36,East,2025-02-11,Postpaid,12,Android,3
262,Female,58,North,2026-01-11,Postpaid,1,Feature Phone,4
263,Male,32,North,2022-03-25,Prepaid,47,Feature Phone,0
264,Female,26,West,2021-04-10,Prepaid,58,Android,4
265,Female,65,South,2023-06-24,Prepaid,32,iOS,3
266,Female,24,South,2021-10-12,Postpaid,52,iOS,0
267,Male,46,West,2023-02-28,Prepaid,35,Feature Phone,1
268,Female,26,East,2022-01-01,Prepaid,50,Android,2
269,Female,27,East,2023-04-12,Prepaid,34,iOS,3
270,Female,29,South,2024-06-17,Postpaid,20,iOS,3
271,Male,35,West,2021-02-16,Postpaid,60,Android,4
272,Female,49,East,2022-12-16,Prepaid,38,Feature Phone,2
273,Female,21,South,2022-04-05,Prepaid,46,Feature Phone,3
274,Male,65,South,2021-07-12,Prepaid,55,Android,2
275,Female,25,West,2022-09-04,Postpaid,41,iOS,4
276,Female,61,West,2022-10-16,Prepaid,40,Feature Phone,0
277,Female,19,South,2024-04-18,Postpaid,22,Android,0
278,Female,19,North,2025-01-13,Postpaid,13,Android,5
279,Male,58,North,2021-03-18,Prepaid,59,Android,5
280,Female,53,North,2022-02-07,Prepaid,48,Android,4
281,Female,41,South,2021-08-06,Postpaid,54,Android,0
282,Female,42,South,2021-02-09,Postpaid,60,iOS,0
283,Female,28,East,2023-07-09,Postpaid,31,Feature Phone,5
284,Female,42,North,2025-10-16,Postpaid,3,Android,0
285,Male,27,East,2022-06-27,Prepaid,44,Feature Phone,4
286,Female,64,North,2023-05-27,Prepaid,33,Android,4
287,Male,33,North,2025-09-25,Postpaid,4,Feature Phone,5
288,Male,31,North,2023-08-23,Prepaid,30,iOS,2
289,Female,41,East,2021-11-19,Postpaid,51,Feature Phone,5
290,Male,58,East,2023-03-11,Postpaid,35,iOS,1
291,Female,65,East,2023-12-20,Prepaid,26,iOS,4
292,Male,49,East,2021-02-19,Prepaid,60,Feature Phone,3
293,Female,44,West,2024-12-20,Prepaid,13,Android,5
294,Female,46,North,2022-09-12,Postpaid,41,Feature Phone,5
295,Female,57,East,2023-09-23,Prepaid,29,Android,3
296,Male,57,South,2025-07-19,Prepaid,6,Feature Phone,0
297,Female,62,South,2025-01-10,Postpaid,13,Feature Phone,1
298,Male,60,North,2022-04-23,Prepaid,46,Android,1
299,Female,44,South,2024-07-17,Postpaid,19,Feature Phone,5
300,Male,35,West,2021-08-08,Prepaid,54,Feature Phone,4
301,Male,52,West,2021-09-06,Prepaid,53,iOS,5
302,Female,26,North,2022-10-26,Postpaid,40,Android,5
303,Female,62,West,2022-12-05,Postpaid,38,Android,4
304,Female,31,North,2025-05-09,Postpaid,9,Feature Phone,1
305,Male,33,East,2025-01-07,Postpaid,13,Android,3
306,Female,63,South,2023-12-04,Prepaid,26,iOS,2
307,Male,38,South,2024-08-01,Prepaid,18,Android,1
308,Male,18,South,2025-07-07,Prepaid,7,Android,0
309,Male,64,North,2021-08-05,Prepaid,55,iOS,0
310,Male,40,North,2022-07-16,Prepaid,43,Android,1
311,Female,45,West,2023-08-31,Prepaid,29,Feature Phone,1
312,Male,42,North,2024-02-05,Prepaid,24,iOS,5
313,Female,49,East,2022-05-09,Prepaid,45,Android,3
314,Female,19,North,2025-07-15,Prepaid,7,Feature Phone,2
315,Female,39,West,2022-01-14,Postpaid,49,iOS,3
316,Male,53,North,2025-06-06,Postpaid,8,iOS,4
317,Male,31,West,2023-08-23,Postpaid,30,Feature Phone,2
318,Male,50,South,2023-03-11,Postpaid,35,iOS,4
319,Male,43,South,2025-10-09,Prepaid,4,Android,4
320,Male,57,West,2022-09-11,Prepaid,41,Android,5
321,Female,47,West,2023-05-10,Postpaid,33,Feature Phone,4
322,Male,31,East,2021-04-27,Postpaid,58,iOS,3
323,Female,27,West,2025-01-28,Postpaid,12,iOS,0
324,Male,54,South,2024-12-06,Postpaid,14,iOS,1
325,Female,46,East,2024-11-30,Prepaid,14,Android,5
326,Male,18,South,2022-01-08,Prepaid,49,Android,5
327,Female,56,East,2022-06-09,Prepaid,44,Android,3
328,Female,53,West,2022-01-22,Postpaid,49,Feature Phone,0
329,Male,33,West,2021-09-11,Postpaid,53,Android,5
330,Female,30,East,2025-05-06,Prepaid,9,Feature Phone,4
331,Female,58,West,2024-06-10,Prepaid,20,iOS,5
332,Male,60,West,2022-01-08,Postpaid,49,iOS,4
333,Female,19,North,2023-11-16,Prepaid,27,Feature Phone,5
334,Male,21,West,2025-12-22,Prepaid,1,Android,5
335,Female,23,East,2023-08-17,Prepaid,30,Android,2
336,Male,35,South,2021-02-23,Prepaid,60,Android,4
337,Male,62,East,2022-02-23,Prepaid,48,iOS,2
338,Female,32,South,2022-02-14,Postpaid,48,iOS,2
339,Male,37,East,2022-04-17,Prepaid,46,Feature Phone,1
340,Female,48,East,2022-01-13,Postpaid,49,Feature Phone,4
341,Female,55,North,2021-08-22,Prepaid,54,iOS,4
342,Female,43,South,2025-05-08,Prepaid,9,Android,4
343,Male,36,South,2025-01-31,Postpaid,12,Android,4
344,Male,49,North,2023-04-05,Postpaid,34,iOS,3
345,Female,18,West,2024-12-22,Prepaid,13,Feature Phone,1
346,Female,37,East,2021-03-17,Postpaid,59,Android,1
347,Female,36,North,2021-09-04,Prepaid,54,iOS,4
348,Male,37,East,2024-11-18,Prepaid,14,Android,5
349,Male,24,West,2023-02-15,Prepaid,36,Android,2
350,Male,40,East,2023-07-23,Postpaid,31,iOS,5
351,Female,58,West,2021-04-28,Prepaid,58,iOS,5
352,Male,48,North,2022-11-09,Postpaid,39,Android,3
353,Male,34,West,2021-08-17,Prepaid,54,Feature Phone,0
354,Male,61,West,2024-11-14,Postpaid,15,iOS,0
355,Male,49,East,2024-10-18,Postpaid,16,Android,3
356,Female,36,North,2021-12-31,Postpaid,50,iOS,0
357,Female,29,South,2021-03-19,Postpaid,59,Feature Phone,0
358,Male,59,North,2023-03-23,Postpaid,35,Android,5
359,Female,35,North,2022-07-12,Postpaid,43,iOS,1
360,Male,65,West,2023-01-25,Prepaid,37,Android,4
361,Male,50,East,2022-09-16,Prepaid,41,iOS,1
362,Female,45,South,2021-10-23,Prepaid,52,Feature Phone,0
363,Male,53,West,2026-01-13,Postpaid,0,Feature Phone,5
364,Female,59,South,2021-03-23,Postpaid,59,Feature Phone,2
365,Female,32,North,2025-11-25,Postpaid,2,Feature Phone,5
366,Female,38,West,2024-03-22,Postpaid,23,iOS,2
367,Female,40,North,2021-07-01,Postpaid,56,iOS,0
368,Male,21,South,2021-04-29,Prepaid,58,Android,4
369,Female,38,North,2021-07-28,Prepaid,55,Feature Phone,2
370,Female,47,North,2022-09-28,Postpaid,41,Feature Phone,2
371,Female,33,North,2022-07-27,Prepaid,43,Android,2
372,Male,23,East,2022-07-11,Postpaid,43,Android,3
373,Male,30,East,2025-04-25,Postpaid,9,Android,2
374,Male,60,East,2021-10-20,Prepaid,52,Feature Phone,0
375,Female,29,South,2025-05-20,Prepaid,8,Android,0
376,Male,22,South,2022-11-10,Prepaid,39,iOS,4
377,Male,22,North,2021-10-29,Prepaid,52,iOS,4
378,Male,46,West,2024-11-14,Prepaid,15,Feature Phone,0
379,Female,62,South,2024-05-13,Prepaid,21,iOS,0
380,Male,25,East,2023-04-14,Prepaid,34,Android,5
381,Male,61,South,2022-06-11,Prepaid,44,Android,3
382,Male,47,East,2022-05-23,Postpaid,45,Feature Phone,4
383,Female,55,North,2021-05-21,Postpaid,57,Android,2
384,Male,30,West,2024-08-30,Postpaid,17,iOS,3
385,Female,58,West,2022-02-19,Postpaid,48,Feature Phone,2
386,Female,42,East,2022-05-17,Prepaid,45,iOS,3
387,Male,58,East,2021-02-22,Postpaid,60,iOS,1
388,Female,56,South,2023-11-18,Prepaid,27,Android,4
389,Female,35,North,2025-03-10,Postpaid,11,Feature Phone,3
390,Male,42,West,2024-01-23,Prepaid,24,Feature Phone,1
391,Male,41,West,2021-11-08,Prepaid,51,Feature Phone,5
392,Male,48,West,2022-03-23,Prepaid,47,Android,0
393,Male,35,North,2025-03-19,Postpaid,10,Feature Phone,2
394,Female,45,South,2023-05-15,Postpaid,33,Android,1
395,Female,59,East,2023-03-12,Postpaid,35,Feature Phone,1
396,Female,45,East,2021-07-13,Prepaid,55,Android,4
397,Male,23,West,2023-01-31,Prepaid,36,iOS,1
398,Female,63,North,2021-05-08,Prepaid,57,iOS,4
399,Male,28,West,2021-07-12,Postpaid,55,iOS,5
400,Female,59,East,2024-07-27,Prepaid,18,Android,5
401,Female,57,North,2023-10-29,Postpaid,27,Feature Phone,0
402,Male,43,North,2022-05-05,Postpaid,45,iOS,2
403,Female,65,South,2025-10-09,Prepaid,4,iOS,4
404,Male,29,North,2021-11-11,Prepaid,51,iOS,1
405,Female,31,South,2021-10-12,Postpaid,52,Android,2
406,Female,42,East,2023-12-16,Prepaid,26,iOS,0
407,Male,58,South,2025-10-13,Prepaid,4,Android,0
408,Male,44,South,2024-04-25,Prepaid,21,Android,1
409,Male,60,South,2022-11-25,Prepaid,39,iOS,0
410,Male,56,East,2024-08-06,Prepaid,18,iOS,3
411,Male,49,East,2021-06-15,Prepaid,56,Android,4
412,Male,39,East,2022-11-12,Postpaid,39,Feature Phone,5
413,Female,41,East,2025-04-23,Prepaid,9,iOS,4
414,Female,18,West,2021-10-15,Prepaid,52,Feature Phone,1
415,Male,28,East,2022-01-13,Postpaid,49,iOS,4
416,Female,51,East,2022-11-03,Prepaid,39,Android,3
417,Male,58,West,2022-03-17,Prepaid,47,Feature Phone,0
418,Male,33,South,2024-08-18,Postpaid,18,Feature Phone,3
419,Male,37,West,2025-07-03,Prepaid,7,iOS,5
420,Male,60,South,2023-03-24,Postpaid,35,Android,3
421,Male,47,West,2023-04-08,Prepaid,34,Feature Phone,5
422,Female,51,South,2024-03-08,Prepaid,23,Feature Phone,2
423,Male,58,West,2023-04-13,Prepaid,34,Android,0
424,Female,50,East,2024-08-13,Prepaid,18,Android,3
425,Male,23,North,2025-09-13,Prepaid,5,Android,2
426,Male,47,East,2024-10-24,Postpaid,15,iOS,3
427,Male,23,North,2022-06-29,Postpaid,44,Feature Phone,5
428,Male,23,East,2022-12-14,Prepaid,38,Feature Phone,3
429,Male,48,West,2022-04-01,Prepaid,47,iOS,4
430,Female,18,West,2023-08-25,Prepaid,30,Feature Phone,0
431,Male,47,South,2021-07-10,Prepaid,55,iOS,2
432,Female,46,North,2022-12-06,Prepaid,38,Feature Phone,4
433,Female,49,East,2025-10-21,Postpaid,3,Feature Phone,0
434,Female,32,South,2024-05-08,Postpaid,21,iOS,3
435,Male,24,East,2025-07-21,Prepaid,6,Feature Phone,2
436,Male,21,East,2024-01-10,Postpaid,25,Android,5
437,Female,49,North,2025-12-21,Postpaid,1,iOS,5
438,Female,46,North,2023-10-12,Postpaid,28,Feature Phone,4
439,Male,25,South,2025-03-27,Postpaid,10,Feature Phone,3
440,Male,52,East,2023-06-24,Prepaid,32,Android,2
441,Male,26,South,2022-04-23,Prepaid,46,Feature Phone,1
442,Female,34,South,2023-04-06,Postpaid,34,Android,3
443,Female,32,West,2021-12-15,Postpaid,50,Feature Phone,4
444,Female,23,East,2023-03-28,Postpaid,35,Feature Phone,4
445,Female,28,West,2025-03-09,Prepaid,11,Feature Phone,1
446,Female,61,East,2024-02-12,Prepaid,24,iOS,3
447,Male,65,North,2025-12-22,Postpaid,1,iOS,1
448,Male,18,East,2021-04-15,Postpaid,58,Android,3
449,Male,45,West,2025-01-19,Prepaid,12,Feature Phone,2
450,Male,62,South,2021-08-06,Prepaid,54,Feature Phone,4
451,Male,33,East,2021-09-26,Prepaid,53,Feature Phone,0
452,Female,60,South,2025-06-22,Postpaid,7,Android,0
453,Male,24,East,2022-06-08,Postpaid,44,Feature Phone,5
